region,state
Northwest,WA
Mid-Atlantic,DE
Mid-Atlantic,DC
Central,WI
Mid-Atlantic,WV
Southeast,FL
Northwest,WY
Northeast,NH
Mid-Atlantic,NJ
Southwest,NM
Southwest,TX
South,LA
Mid-Atlantic,NC
Central,ND
Central,NE
South,TN
Northeast,NY
Mid-Atlantic,PA
Northeast,RI
Southwest,NV
Mid-Atlantic,VA
Southwest,CO
Southwest,CA
South,AL
Central,AR
Northeast,VT
Central,IL
Southeast,GA
Central,IN
Central,IA
Central,OK
Southwest,AZ
Northwest,ID
Northeast,CT
Northeast,ME
Mid-Atlantic,MD
Northeast,MA
Central,OH
Southwest,UT
Central,MO
Central,MN
Central,MI
Central,KS
Northwest,MT
South,MS
Mid-Atlantic,SC
South,KY
Northwest,OR
Central,SD
